itteration ;3.Real ;3.Imaginary ;2.Real ;2.Imaginary ;1.Real ;1.Imaginary ;
1 ;110,187457493915 ;-0,785487091661585 ;108,586370316986 ;-0,72282125760601 ;108,512887983447 ;-1,38309207678854 ;
2 ;109,397803326869 ;-2,5272800172462 ;107,808741547651 ;-1,40537288463884 ;108,490508228525 ;-1,37801140460871 ;
3 ;109,386317513221 ;-2,52165760089938 ;107,39454337802 ;-2,26572402541285 ;107,530552116867 ;-3,0286944448532 ;
4 ;108,643526313632 ;-4,00257102436153 ;106,896459460293 ;-3,07375671456623 ;107,511694186062 ;-3,0172301031899 ;
5 ;108,63339314118 ;-3,99773099771307 ;106,5103659235 ;-3,800946953407 ;106,702992686851 ;-4,51615203624221 ;
6 ;107,998050655269 ;-5,3164786230118 ;106,090109883545 ;-4,53463776644392 ;106,686572427127 ;-4,50473152526783 ;
7 ;107,989180079173 ;-5,31177397130032 ;105,759933632677 ;-5,18136190871996 ;105,996876845217 ;-5,84496197873112 ;
8 ;107,449787426728 ;-6,48728467173549 ;105,401504216657 ;-5,83675683571438 ;105,982642819248 ;-5,83404805483011 ;
9 ;107,442056231399 ;-6,48275596984595 ;105,121169524746 ;-6,41273343863784 ;105,396222931496 ;-7,02893920983548 ;
10 ;106,986102502421 ;-7,52868242017104 ;104,81643810986 ;-6,9965447123184 ;105,383948493998 ;-7,01865375986872 ;
11 ;106,979393626921 ;-7,52438166607932 ;104,579456520505 ;-7,5086470923152 ;104,887349604891 ;-8,08183117725624 ;
12 ;106,595784618394 ;-8,45325802018658 ;104,321435343168 ;-8,02771188782186 ;104,876814985537 ;-8,07224020727589 ;
13 ;106,589986364783 ;-8,44921978254913 ;104,122047250907 ;-8,48221328881653 ;104,458179055391 ;-9,01647376624211 ;
14 ;106,268955456107 ;-9,27266438087057 ;103,90456834329 ;-8,94290900124037 ;104,449177418166 ;-9,00760936051791 ;
15 ;106,263963098766 ;-9,26890811195981 ;103,737697873833 ;-9,34560035172597 ;104,098051472106 ;-9,84473631229893 ;
16 ;105,996921950087 ;-9,9976351562414 ;103,555319391524 ;-9,75381337302135 ;104,090392008224 ;-9,83660484771853 ;
17 ;105,992638881876 ;-9,9941685545872 ;103,416500192841 ;-10,1100163686259 ;103,797572368056 ;-10,577530739411 ;
18 ;105,772045129024 ;-10,6380070109655 ;103,2644286468 ;-10,4711499038719 ;103,791081681779 ;-10,5701194468147 ;
19 ;105,768383376028 ;-10,6348289442463 ;103,149737236752 ;-10,7857320580813 ;103,548476926581 ;-11,2248400934154 ;
20 ;105,587624007094 ;-11,2027544607631 ;103,023758067375 ;-11,1047231328049 ;103,542999294341 ;-11,2181225095108 ;
21 ;105,584504275109 ;-11,1998573851178 ;102,929754385608 ;-11,3821181665997 ;103,34350853238 ;-11,795759335522 ;
22 ;105,437792086153 ;-11,700033640532 ;102,826169577591 ;-11,6634600320398 ;103,338905408044 ;-11,7896997192893 ;
23 ;105,435143490545 ;-11,6974055518597 ;102,749843716875 ;-11,907691966961 ;103,176309492997 ;-12,2985441448861 ;
24 ;105,317424656396 ;-12,1372316977151 ;102,665415559807 ;-12,1554599068738 ;103,172458538599 ;-12,2931009622774 ;
25 ;105,315184252106 ;-12,1348576707342 ;102,604139891993 ;-12,3701693488548 ;103,041322457287 ;-12,7406644577621 ;
26 ;105,222055530528 ;-12,5210192049892 ;102,536040201667 ;-12,5880483828355 ;103,038116304781 ;-12,7357930627392 ;
27 ;105,220167728103 ;-12,5188825816801 ;102,48752629085 ;-12,7765198201093 ;102,933701386062 ;-13,1288602363365 ;
28 ;105,147802153506 ;-12,8574036046363 ;102,433290549778 ;-12,9678331622271 ;102,931046275792 ;-13,1245148810476 ;
29 ;105,146218082156 ;-12,8554868923963 ;102,395550366066 ;-13,1330223939268 ;102,849231162202 ;-13,4691975947904 ;
30 ;105,091298238562 ;-13,1517822124355 ;102,353036337339 ;-13,3007598224906 ;102,847045557136 ;-13,465332894281 ;
31 ;105,089975098073 ;-13,1500677470986 ;102,324347366505 ;-13,4453208746872 ;102,784255079291 ;-13,7671239246772 ;
32 ;105,049633221313 ;-13,4089937265949 ;102,291697798283 ;-13,592166407582 ;102,782468319133 ;-13,7636958878449 ;
33 ;105,048533650262 ;-13,4074641485185 ;102,270571698361 ;-13,7184774851862 ;102,735609547246 ;-14,0275210698123 ;
34 ;105,020297919744 ;-13,6333675180431 ;102,246180778681 ;-13,8468359431116 ;102,734160581182 ;-14,0244877922247 ;
35 ;105,01938939704 ;-13,6320061020494 ;102,23133527346 ;-13,9570241159962 ;102,700565419899 ;-14,2547559182522 ;
36 ;105,001135854876 ;-13,8287702351344 ;102,213818524618 ;-14,0690463011683 ;102,699401638973 ;-14,2520780162816 ;
37 ;105,000390144221 ;-13,8275611079964 ;102,204152252255 ;-14,1650107379563 ;102,676775396543 ;-14,4527280212726 ;
38 ;104,990299735946 ;-13,9986494512776 ;102,192319576195 ;-14,262617066122 ;102,675851574578 ;-14,4503688720669 ;
39 ;104,989692377724 ;-13,9975777240347 ;102,186889633107 ;-14,3460507157933 ;102,662226985544 ;-14,6249140309552 ;
40 ;104,986212652222 ;-14,1460742299008 ;102,179721237334 ;-14,4309532216505 ;102,661504329597 ;-14,6228398696475 ;
